ScanningMode	2Theta
ScanningType	Continuos Scanning
X-Ray	40kV/40mA
DivSlit	3.0mm
DivH.L.Slit	10mm
SctSlit	open
RecSlit	open
Start	114
Stop	119
Step	0.01
118.92	80093
118.93	80433
118.94	80593
118.95	80364
118.96	80153
118.97	79710
118.98	80313
118.99	80694
119	80092
X-Ray	40kV/40mA
DivSlit	3.0mm
DivH.L.Slit	10mm
SctSlit	open
RecSlit	open
Start	114
Stop	119
Step	0.01
114	77522
114.01	77710
114.02	77469
114.03	77776
114.04	78024
114.05	77718
114.06	78762
114.07	78103
114.08	78441
114.09	77645
114.1	78022
114.11	77816
114.12	78360
114.13	78114
114.14	77765
114.15	78352
114.16	77629
114.17	77871
114.18	78421
114.19	78662
114.2	77795
114.21	78082
114.22	78026
114.23	78090
114.24	77811
114.25	78590
114.26	77778
114.27	77557
114.28	78139
114.29	77997
114.3	78008
114.31	77751
114.32	77973
114.33	78117
114.34	77614
114.35	77970
114.36	78312
114.37	77978
114.38	77819
114.39	78222
114.4	78195
114.41	78568
114.42	78571
114.43	78029
114.44	77774
114.45	78562
114.46	77815
114.47	78101
114.48	78175
114.49	77954
114.5	78090
114.51	77828
114.52	77978
114.53	78452
114.54	78125
114.55	78059
114.56	78068
114.57	78604
114.58	78621
114.59	77891
114.6	78117
114.61	78643
114.62	78019
114.63	78170
114.64	78594
114.65	78830
114.66	77693
114.67	78758
114.68	77874
114.69	77938
114.7	78522
114.71	78449
114.72	78422
114.73	78535
114.74	78204
114.75	78057
114.76	77872
114.77	78312
114.78	78220
114.79	78321
114.8	78189
114.81	78564
114.82	78393
114.83	78463
114.84	78331
114.85	78342
114.86	78376
114.87	78472
114.88	77794
114.89	78720
114.9	78174
114.91	78704
114.92	77921
114.93	78455
114.94	78143
114.95	78200
114.96	78978
114.97	78508
114.98	78247
114.99	78730
115	78373
115.01	78416
115.02	78538
115.03	78119
115.04	78855
115.05	78270
115.06	78528
115.07	78152
115.08	78433
115.09	78436
115.1	78198
115.11	78800
115.12	78132
115.13	78816
115.14	78712
115.15	78693
115.16	78272
115.17	78622
115.18	78375
115.19	78557
115.2	78614
115.21	78767
115.22	78651
115.23	78641
115.24	78533
115.25	78786
115.26	79027
115.27	78297
115.28	78768
115.29	78769
115.3	79300
115.31	78734
115.32	78565
115.33	79026
115.34	79068
115.35	78856
115.36	78882
115.37	79040
115.38	78833
115.39	78924
115.4	78569
115.41	78864
115.42	79010
115.43	78923
115.44	78948
115.45	79188
115.46	79263
115.47	78832
115.48	79349
115.49	79208
115.5	79416
115.51	79629
115.52	79678
115.53	79557
115.54	79433
115.55	79633
115.56	80100
115.57	80061
115.58	79860
115.59	79448
115.6	79722
115.61	79596
115.62	80369
115.63	79406
115.64	80200
115.65	79981
115.66	80670
115.67	80022
115.68	80637
115.69	80070
115.7	80220
115.71	80553
115.72	80414
115.73	80646
115.74	80724
115.75	80923
115.76	80740
115.77	80849
115.78	80714
115.79	80971
115.8	80668
115.81	80716
115.82	80757
115.83	81627
115.84	81678
115.85	81353
115.86	81989
115.87	81298
115.88	81727
115.89	81765
115.9	82217
115.91	81978
115.92	82129
115.93	82024
115.94	81948
115.95	82174
115.96	82054
115.97	82496
115.98	82468
115.99	82515
116	82873
116.01	82639
116.02	83058
116.03	82670
116.04	82762
116.05	82963
116.06	82649
116.07	83345
116.08	83781
116.09	83141
116.1	82919
116.11	82796
116.12	83154
116.13	83189
116.14	83130
116.15	83428
116.16	83183
116.17	83314
116.18	83420
116.19	83466
116.2	83575
116.21	82938
116.22	83544
116.23	83417
116.24	83422
116.25	83748
116.26	83443
116.27	83762
116.28	83487
116.29	83399
116.3	83529
116.31	83862
116.32	83008
116.33	83972
116.34	83312
116.35	83421
116.36	83486
116.37	82989
116.38	83851
116.39	83446
116.4	83672
116.41	83806
116.42	83084
116.43	83832
116.44	83597
116.45	83544
116.46	83609
116.47	83219
116.48	83416
116.49	83280
116.5	82995
116.51	83462
116.52	82414
116.53	82860
116.54	82678
116.55	82804
116.56	82196
116.57	82885
116.58	82624
116.59	82685
116.6	82097
116.61	82481
116.62	82950
116.63	82512
116.64	82494
116.65	82804
116.66	82325
116.67	82383
116.68	82565
116.69	81963
116.7	81859
116.71	82097
116.72	82063
116.73	81584
116.74	82193
116.75	81837
116.76	81498
116.77	81822
116.78	81632
116.79	81608
116.8	81490
116.81	81323
116.82	81653
116.83	81565
116.84	81465
116.85	80986
116.86	80606
116.87	81791
116.88	80444
116.89	80764
116.9	80792
116.91	81179
116.92	80565
116.93	80942
116.94	80346
116.95	80264
116.96	80645
116.97	80203
116.98	80656
116.99	80168
117	79558
117.01	80110
117.02	80601
117.03	80037
117.04	80003
117.05	80439
117.06	80084
117.07	80098
117.08	80530
117.09	79688
117.1	80001
117.11	80103
117.12	80201
117.13	79623
117.14	80168
117.15	79631
117.16	78956
117.17	79744
117.18	79956
117.19	79908
117.2	79441
117.21	79727
117.22	80077
117.23	79503
117.24	79685
117.25	79187
117.26	79708
117.27	79431
117.28	79193
117.29	79202
117.3	79411
117.31	79341
117.32	78748
117.33	79300
117.34	79101
117.35	79194
117.36	79036
117.37	79208
117.38	79106
117.39	79327
117.4	79335
117.41	78829
117.42	79196
117.43	78764
117.44	79446
117.45	79058
117.46	79417
117.47	79361
117.48	79126
117.49	79185
117.5	79628
117.51	79083
117.52	79313
117.53	79075
117.54	79065
117.55	79081
117.56	79655
117.57	78930
117.58	79136
117.59	79039
117.6	79180
117.61	78855
117.62	79571
117.63	79067
117.64	78520
117.65	79104
117.66	78586
117.67	79004
117.68	79400
117.69	79277
